TIMESTAMP,TOKEN0_SYMBOL,TOKEN1_SYMBOL,AMOUNT0,AMOUNT1,AMOUNT_USD,PRICE,TICK,FEE_TIER,LIQUIDITY
1683574283000,USDC,WETH,-10785.336743,5.866106079257079401,10776.21040278211213118842055606826,1838.59,201147,500,1976941063478930260
1683574295000,USDC,WETH,25000,-13.583577695547821899,24966.15053855781497254355343598903,1840.46,201147,500,1976941063478930260
1683574307000,USDC,WETH,-17108.896634,9.305213267632033039,17094.18593161288852749192700069281,1838.64,201147,500,1976941063478930260
1683574307000,USDC,WETH,9121.778692,-4.956256275924213612,9109.428635733226390144811962226905,1840.46,201147,500,1976941063478930260
1683574343000,USDC,WETH,40000,-21.732406145021055399,39944.63113040597892497631910777719,1840.57,201146,500,1976941063478930260
1683574379000,USDC,WETH,-4017.185651,2.184664685930573342,4013.540230483595706155215251017044,1838.81,201146,500,1976941063478930260
1683574379000,USDC,WETH,-22065.020483,12,22045.35308861861422371947166968974,1838.75,201147,500,1976941063478930260
1683574391000,USDC,WETH,8000,-4.346503767762138043,7988.94691073111402621549943307448,1840.56,201146,500,1976941063478930260
1683574415000,USDC,WETH,10000,-5.43300868074546167,9986.07256567341635727499569281151,1840.60,201146,500,1976941063478930260
1683574439000,USDC,WETH,2500,-1.358231158747699621,2496.498858445685898613409822515929,1840.63,201146,500,1976941063478930260
1683574451000,USDC,WETH,15000,-8.149210462407954773,14978.83117921613494922147292112169,1840.67,201146,500,1976941063478930260
1683574487000,USDC,WETH,6278.943557,-3.411139006406026637,6269.999929102158936018414690628985,1840.72,201146,500,1976941063478930260
1683574523000,USDC,WETH,-1838.88743,1,1837.180618926551185309955972474145,1838.89,201146,500,1976941063478930260
1683574535000,USDC,WETH,460.18114,-0.25,459.5247959816377963274889931185363,1840.72,201146,500,1976941063478930260
1683574559000,USDC,WETH,-5820.029285,3.164999526692321771,5814.651509055611278959235586497475,1838.87,201146,500,1976941063478930260
1683574571000,USDC,WETH,-5516.538827,2.999999999473785162,5511.48012479672677970353622154585,1838.85,201146,500,1976941063478930260
1683574595000,USDC,WETH,-3126.005218,1.699999999978595281,3123.15534565549311448244732844537,1838.83,201146,500,1976941063478930260
1683574607000,USDC,WETH,29100,-15.808979990360585364,29058.48435059032261383446440504437,1840.73,201145,500,1976941063478930260
1683574631000,USDC,WETH,-4780.685026,2.59969456333564693,4776.17815271034404214214986224756,1838.94,201145,500,1976941063478930260
1683574631000,USDC,WETH,-1659.887355,0.902639375235261975,1658.329143090605804361833527066191,1838.93,201145,500,1976941063478930260
1683574667000,USDC,WETH,500,-0.271626340688461516,499.281516928327267454824888054382,1840.76,201145,500,1976941063478930260
1683574703000,USDC,WETH,1450,-0.787714487120839808,1447.914654588370703880672796185085,1840.77,201145,500,1976941063478930260
1683574703000,USDC,WETH,2000,-1.086498102137247843,1997.119404377511620750534826409608,1840.78,201145,500,1976941063478930260
1683574727000,USDC,WETH,-5135.525923,2.79267239304513551,5130.70147717439531812108708266408,1838.93,201145,500,1976941063478930260
1683574739000,USDC,WETH,-68401.925956,37.2,68340.7758040677040935303621760382,1838.76,201147,500,1976941063478930260
1683574751000,USDC,WETH,1000,-0.543347466789089898,998.6500219273539565676990765234045,1840.44,201147,500,1976941063478930260
1683574751000,USDC,WETH,-1111.172016,0.604356622141098613,1110.22638327128041470697164061394,1838.60,201147,500,1976941063478930260
1683574763000,USDC,WETH,-147882.938539,80.446872562307123385,147770.5330254055590772734167788665,1838.27,201151,500,1976941063478930260
1683574775000,USDC,WETH,-5697.545015,3.1,5693.75690967230867446086351466985,1837.92,201151,500,1976941063478930260
1683574775000,USDC,WETH,-7901.53979,4.299253065721241445,7896.35309273174560904102314043394,1837.89,201151,500,1976941063478930260
1683574787000,USDC,WETH,400,-0.217425721876557018,399.5396088289868463238319838131076,1839.71,201151,500,1976941063478930260
1683574799000,USDC,WETH,-173512.569951,94.429968074073952777,173418.1515136837028623467509392655,1837.47,201155,500,1976941063478930260
1683574823000,USDC,WETH,10000,-5.437920808761744587,9990.58060683077071313026292326932,1838.94,201155,500,1976941063478930260
1683574835000,USDC,WETH,-2912.232798,1.585219996305427635,2910.931290451802066389352407681307,1837.12,201155,500,1976941063478930260
1683574871000,USDC,WETH,4024.892774,-2.188682495793052717,4021.081084367353090159521172124494,1838.96,201155,500,1976941063478930260
1683574871000,USDC,WETH,1500,-0.815674196442310819,1498.574311655743842732822519263114,1838.97,201155,500,1976941063478930260
1683574883000,USDC,WETH,200,-0.108750818663360762,199.8046396195905052255650818697644,1839.07,201155,500,1976941063478930260
1683574883000,USDC,WETH,-311.619065,0.169622416496113859,311.4782838516834955536520020098404,1837.13,201155,500,1976941063478930260
1683574883000,USDC,WETH,20311.5088,-11.044747876161077316,20291.92712051741886123605735470368,1839.02,201155,500,1976941063478930260
1683574883000,USDC,WETH,366.640447,-0.199372459247791447,366.2916869782906205938706993414258,1838.97,201155,500,1976941063478930260
1683574895000,USDC,WETH,500,-0.271876809904858422,499.5113817715122733353832151685587,1839.07,201155,500,1976941063478930260
1683574931000,USDC,WETH,-6356.626327,3.45991704103547649,6353.60671658261234250744678998316,1837.22,201155,500,1976941063478930260
1683574931000,USDC,WETH,672.420117,-0.36563033886388757,671.762513670559940891611598938878,1839.07,201155,500,1976941063478930260
1683574979000,USDC,WETH,3583.708132,-1.948671943425818662,3580.222222128146328064931534128846,1839.05,201155,500,1976941063478930260
1683575039000,USDC,WETH,11323.334938,-6.157046026408299536,11312.21582660922732344154142559921,1839.09,201154,500,1976941063478930260
1683575063000,USDC,WETH,-167002.538368,90.91586687148131011,166938.1153644317607759871558472529,1836.89,201159,500,1976941063478930260
1683575087000,USDC,WETH,1000,-0.543966241284319763,999.217894116834927387901972636956,1838.35,201159,500,1976941063478930260
1683575099000,USDC,WETH,3925.033947,-2.135072878870639457,3921.952147012289099537512712064628,1838.36,201158,500,1976941063478930260
1683575099000,USDC,WETH,1983.640131,-1.079018720453451095,1982.075365287739037995035931227755,1838.37,201158,500,1976941063478930260
1683575111000,USDC,WETH,-7328.004373,3.99,7325.77243316693922938672433017184,1836.59,201158,500,1976941063478930260
1683575111000,USDC,WETH,15000,-8.159211210933694784,14988.00923520509560810031005605042,1838.41,201158,500,1976941063478930260
1683575123000,USDC,WETH,2941.472807,-1.6,2939.115449782481896495929555958632,1838.42,201158,500,1976941063478930260
1683575123000,USDC,WETH,-18365.472755,10,18360.10541676551185309955972474145,1836.55,201159,500,1976941063478930260
1683575135000,USDC,WETH,10000,-5.439613088126870805,9992.133674055900438093319054328105,1838.37,201158,500,1976941063478930260
1683575159000,USDC,WETH,-2999.030879,1.634,2999.097540515984636796468059022753,1835.39,201165,500,1976941063478930260
1683575159000,USDC,WETH,-3670.763268,2,3670.85544185310237061991194494829,1835.38,201165,500,1976941063478930260
1683575159000,USDC,WETH,-342797.367985,186.714363353806500836,342753.3457354394860183607705865193,1835.95,201165,500,1976941063478930260
1683575195000,USDC,WETH,-29441.103419,16.041321043949083967,29442.26401926566423677009829423556,1835.33,201165,500,1976941063478930260
1683575195000,USDC,WETH,-50468.064451,27.5,50471.797083480157596023789243039,1835.20,201166,500,1976941063478930260
1683575195000,USDC,WETH,-2000,1.089847510870845725,2000.193280378668291656776908531434,1835.12,201166,500,1976941063478930260
1683575243000,USDC,WETH,-11230.800542,6.12,11231.95012303049325409693055154177,1835.10,201166,500,1976941063478930260
1683575255000,USDC,WETH,-204.035416,0.111186116059013144,204.0573099116169156353419912324702,1835.08,201166,500,1976941063478930260
1683575267000,USDC,WETH,-1790.628569,0.975778531303471633,1790.822252736445364397012218759596,1835.08,201166,500,1976941063478930260
1683575279000,USDC,WETH,10103.095586,-5.5,10099.1007645960315192047578486078,1836.93,201166,500,1976941063478930260
1683575279000,USDC,WETH,4990.009765,-2.716464037669556005,4988.004178058676639368348522343526,1836.95,201166,500,1976941063478930260
1683575291000,USDC,WETH,-196181.896859,106.922148704225040474,196217.3501424897952774454963605009,1834.81,201169,500,1976941063478930260
1683575315000,USDC,WETH,-14747.275174,8.038957933868339465,14751.28595202411467264436148434892,1834.48,201170,500,1976941063478930260
